"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"50-54 years"	"50-54"	"Machinery"	"GRINJ-007"	738	238330523	0.3
	"50-54 years"	"50-54"	"Motor Vehicle Traffic"	"GRINJ-008"	31719	238330523	13.3
	"50-54 years"	"50-54"	"Other Pedal cyclist"	"GRINJ-009"	292	238330523	0.1
	"50-54 years"	"50-54"	"Other Pedestrian"	"GRINJ-010"	1003	238330523	0.4
	"50-54 years"	"50-54"	"Other land transport"	"GRINJ-011"	1357	238330523	0.6
	"50-54 years"	"50-54"	"Other transport"	"GRINJ-012"	1768	238330523	0.7
	"50-54 years"	"50-54"	"Natural/Environmental"	"GRINJ-013"	1765	238330523	0.7
	"50-54 years"	"50-54"	"Overexertion"	"GRINJ-014"	9	238330523	Unreliable
	"50-54 years"	"50-54"	"Poisoning"	"GRINJ-015"	47452	238330523	19.9
	"50-54 years"	"50-54"	"Struck by or against"	"GRINJ-016"	1268	238330523	0.5
	"50-54 years"	"50-54"	"Suffocation"	"GRINJ-017"	10098	238330523	4.2
	"50-54 years"	"50-54"	"Other specified, classifiable Injury"	"GRINJ-018"	2122	238330523	0.9
	"50-54 years"	"50-54"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	2043	238330523	0.9
	"50-54 years"	"50-54"	"Unspecified Injury"	"GRINJ-020"	4426	238330523	1.9
	"50-54 years"	"50-54"	"Non-Injury: Intestinal infections"	"GR113 001-003"	862	238330523	0.4
	"50-54 years"	"50-54"	"Non-Injury: Tuberculosis"	"GR113 005-006"	557	238330523	0.2
	"50-54 years"	"50-54"	"Non-Injury: Whooping cough"	"GR113-007"	0	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Meningococcal infection"	"GR113-009"	90	238330523	0.0
	"50-54 years"	"50-54"	"Non-Injury: Septicemia"	"GR113-010"	15527	238330523	6.5
	"50-54 years"	"50-54"	"Non-Injury: Syphilis"	"GR113-011"	28	238330523	0.0
	"50-54 years"	"50-54"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	8	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Measles"	"GR113-014"	0	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Viral hepatitis"	"GR113-015"	16131	238330523	6.8
	"50-54 years"	"50-54"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	20706	238330523	8.7
	"50-54 years"	"50-54"	"Non-Injury: Malaria"	"GR113-017"	7	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	5344	238330523	2.2
	"50-54 years"	"50-54"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	369196	238330523	154.9
	"50-54 years"	"50-54"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	4977	238330523	2.1
	"50-54 years"	"50-54"	"Non-Injury: Anemias"	"GR113-045"	1445	238330523	0.6
	"50-54 years"	"50-54"	"Non-Injury: Diabetes mellitus"	"GR113-046"	40229	238330523	16.9
	"50-54 years"	"50-54"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	776	238330523	0.3
	"50-54 years"	"50-54"	"Non-Injury: Meningitis"	"GR113-050"	664	238330523	0.3
	"50-54 years"	"50-54"	"Non-Injury: Parkinsons disease"	"GR113-051"	530	238330523	0.2
	"50-54 years"	"50-54"	"Non-Injury: Alzheimers disease"	"GR113-052"	746	238330523	0.3
	"50-54 years"	"50-54"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	267417	238330523	112.2
	"50-54 years"	"50-54"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	8171	238330523	3.4
	"50-54 years"	"50-54"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	42654	238330523	17.9
	"50-54 years"	"50-54"	"Non-Injury: Atherosclerosis"	"GR113-071"	1273	238330523	0.5
	"50-54 years"	"50-54"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	7423	238330523	3.1
	"50-54 years"	"50-54"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	3336	238330523	1.4
	"50-54 years"	"50-54"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	13937	238330523	5.8
	"50-54 years"	"50-54"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	105	238330523	0.0
	"50-54 years"	"50-54"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	30236	238330523	12.7
	"50-54 years"	"50-54"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	138	238330523	0.1
	"50-54 years"	"50-54"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	2949	238330523	1.2
	"50-54 years"	"50-54"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	9865	238330523	4.1
	"50-54 years"	"50-54"	"Non-Injury: Peptic ulcer"	"GR113-090"	1879	238330523	0.8
	"50-54 years"	"50-54"	"Non-Injury: Diseases of appendix"	"GR113-091"	271	238330523	0.1
	"50-54 years"	"50-54"	"Non-Injury: Hernia"	"GR113-092"	657	238330523	0.3
	"50-54 years"	"50-54"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	49960	238330523	21.0
	"50-54 years"	"50-54"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	915	238330523	0.4
	"50-54 years"	"50-54"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	14559	238330523	6.1
	"50-54 years"	"50-54"	"Non-Injury: Infections of kidney"	"GR113-102"	335	238330523	0.1
	"50-54 years"	"50-54"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	10	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	56	238330523	0.0
	"50-54 years"	"50-54"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	4	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	226	238330523	0.1
	"50-54 years"	"50-54"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	17	238330523	Unreliable
	"50-54 years"	"50-54"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	4203	238330523	1.8
	"50-54 years"	"50-54"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	15828	238330523	6.6
	"50-54 years"	"50-54"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	104881	238330523	44.0
	"50-54 years"	"50-54"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	1758	238330523	0.7
"Total"	"50-54 years"	"50-54"			1210224	238330523	507.8
	"55-59 years"	"55-59"	"Cut/Pierce"	"GRINJ-001"	1821	200202661	0.9
	"55-59 years"	"55-59"	"Drowning"	"GRINJ-002"	2502	200202661	1.2
	"55-59 years"	"55-59"	"Fall"	"GRINJ-003"	8700	200202661	4.3
	"55-59 years"	"55-59"	"Fire/Flame"	"GRINJ-004"	2878	200202661	1.4
	"55-59 years"	"55-59"	"Hot object/Substance"	"GRINJ-005"	72	200202661	0.0
	"55-59 years"	"55-59"	"Firearm"	"GRINJ-006"	20864	200202661	10.4
	"55-59 years"	"55-59"	"Machinery"	"GRINJ-007"	664	200202661	0.3
	"55-59 years"	"55-59"	"Motor Vehicle Traffic"	"GRINJ-008"	25856	200202661	12.9
	"55-59 years"	"55-59"	"Other Pedal cyclist"	"GRINJ-009"	236	200202661	0.1
	"55-59 years"	"55-59"	"Other Pedestrian"	"GRINJ-010"	799	200202661	0.4
	"55-59 years"	"55-59"	"Other land transport"	"GRINJ-011"	1077	200202661	0.5
	"55-59 years"	"55-59"	"Other transport"	"GRINJ-012"	1452	200202661	0.7
	"55-59 years"	"55-59"	"Natural/Environmental"	"GRINJ-013"	1419	200202661	0.7
	"55-59 years"	"55-59"	"Overexertion"	"GRINJ-014"	13	200202661	Unreliable
	"55-59 years"	"55-59"	"Poisoning"	"GRINJ-015"	27197	200202661	13.6
	"55-59 years"	"55-59"	"Struck by or against"	"GRINJ-016"	979	200202661	0.5
	"55-59 years"	"55-59"	"Suffocation"	"GRINJ-017"	7699	200202661	3.8
	"55-59 years"	"55-59"	"Other specified, classifiable Injury"	"GRINJ-018"	1640	200202661	0.8
	"55-59 years"	"55-59"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1684	200202661	0.8
	"55-59 years"	"55-59"	"Unspecified Injury"	"GRINJ-020"	3779	200202661	1.9
	"55-59 years"	"55-59"	"Non-Injury: Intestinal infections"	"GR113 001-003"	1381	200202661	0.7
	"55-59 years"	"55-59"	"Non-Injury: Tuberculosis"	"GR113 005-006"	563	200202661	0.3
	"55-59 years"	"55-59"	"Non-Injury: Whooping cough"	"GR113-007"	1	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Meningococcal infection"	"GR113-009"	71	200202661	0.0
	"55-59 years"	"55-59"	"Non-Injury: Septicemia"	"GR113-010"	20402	200202661	10.2
	"55-59 years"	"55-59"	"Non-Injury: Syphilis"	"GR113-011"	28	200202661	0.0
	"55-59 years"	"55-59"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	2	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Measles"	"GR113-014"	1	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Viral hepatitis"	"GR113-015"	13506	200202661	6.7
	"55-59 years"	"55-59"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	12293	200202661	6.1
	"55-59 years"	"55-59"	"Non-Injury: Malaria"	"GR113-017"	8	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	5590	200202661	2.8
	"55-59 years"	"55-59"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	518658	200202661	259.1
	"55-59 years"	"55-59"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	6770	200202661	3.4
	"55-59 years"	"55-59"	"Non-Injury: Anemias"	"GR113-045"	1673	200202661	0.8
	"55-59 years"	"55-59"	"Non-Injury: Diabetes mellitus"	"GR113-046"	56690	200202661	28.3
	"55-59 years"	"55-59"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	991	200202661	0.5
	"55-59 years"	"55-59"	"Non-Injury: Meningitis"	"GR113-050"	633	200202661	0.3
	"55-59 years"	"55-59"	"Non-Injury: Parkinsons disease"	"GR113-051"	1289	200202661	0.6
	"55-59 years"	"55-59"	"Non-Injury: Alzheimers disease"	"GR113-052"	2158	200202661	1.1
	"55-59 years"	"55-59"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	349513	200202661	174.6
	"55-59 years"	"55-59"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	10236	200202661	5.1
	"55-59 years"	"55-59"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	53401	200202661	26.7
	"55-59 years"	"55-59"	"Non-Injury: Atherosclerosis"	"GR113-071"	2028	200202661	1.0
	"55-59 years"	"55-59"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	10586	200202661	5.3
	"55-59 years"	"55-59"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	3463	200202661	1.7
	"55-59 years"	"55-59"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	16817	200202661	8.4
	"55-59 years"	"55-59"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	95	200202661	0.0
	"55-59 years"	"55-59"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	54707	200202661	27.3
	"55-59 years"	"55-59"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	287	200202661	0.1
	"55-59 years"	"55-59"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	3984	200202661	2.0
	"55-59 years"	"55-59"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	13869	200202661	6.9
	"55-59 years"	"55-59"	"Non-Injury: Peptic ulcer"	"GR113-090"	2261	200202661	1.1
	"55-59 years"	"55-59"	"Non-Injury: Diseases of appendix"	"GR113-091"	306	200202661	0.2
	"55-59 years"	"55-59"	"Non-Injury: Hernia"	"GR113-092"	786	200202661	0.4
	"55-59 years"	"55-59"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	46795	200202661	23.4
	"55-59 years"	"55-59"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	1228	200202661	0.6
	"55-59 years"	"55-59"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	20718	200202661	10.3
	"55-59 years"	"55-59"	"Non-Injury: Infections of kidney"	"GR113-102"	355	200202661	0.2
	"55-59 years"	"55-59"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	42	200202661	0.0
	"55-59 years"	"55-59"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	67	200202661	0.0
	"55-59 years"	"55-59"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	21	200202661	0.0
	"55-59 years"	"55-59"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	14	200202661	Unreliable
	"55-59 years"	"55-59"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	4381	200202661	2.2
	"55-59 years"	"55-59"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	14122	200202661	7.1
	"55-59 years"	"55-59"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	116209	200202661	58.0
	"55-59 years"	"55-59"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	2134	200202661	1.1
"Total"	"55-59 years"	"55-59"			1482465	200202661	740.5
	"60-64 years "	"60-64"	"Cut/Pierce"	"GRINJ-001"	1173	158718361	0.7
	"60-64 years "	"60-64"	"Drowning"	"GRINJ-002"	1939	158718361	1.2
	"60-64 years "	"60-64"	"Fall"	"GRINJ-003"	9375	158718361	5.9
	"60-64 years "	"60-64"	"Fire/Flame"	"GRINJ-004"	2625	158718361	1.7
	"60-64 years "	"60-64"	"Hot object/Substance"	"GRINJ-005"	69	158718361	0.0
	"60-64 years "	"60-64"	"Firearm"	"GRINJ-006"	15627	158718361	9.8
	"60-64 years "	"60-64"	"Machinery"	"GRINJ-007"	686	158718361	0.4
	"60-64 years "	"60-64"	"Motor Vehicle Traffic"	"GRINJ-008"	20437	158718361	12.9
	"60-64 years "	"60-64"	"Other Pedal cyclist"	"GRINJ-009"	203	158718361	0.1
	"60-64 years "	"60-64"	"Other Pedestrian"	"GRINJ-010"	594	158718361	0.4
	"60-64 years "	"60-64"	"Other land transport"	"GRINJ-011"	949	158718361	0.6
	"60-64 years "	"60-64"	"Other transport"	"GRINJ-012"	1152	158718361	0.7
	"60-64 years "	"60-64"	"Natural/Environmental"	"GRINJ-013"	1223	158718361	0.8
	"60-64 years "	"60-64"	"Overexertion"	"GRINJ-014"	9	158718361	Unreliable
	"60-64 years "	"60-64"	"Poisoning"	"GRINJ-015"	12560	158718361	7.9
	"60-64 years "	"60-64"	"Struck by or against"	"GRINJ-016"	857	158718361	0.5
	"60-64 years "	"60-64"	"Suffocation"	"GRINJ-017"	5797	158718361	3.7
	"60-64 years "	"60-64"	"Other specified, classifiable Injury"	"GRINJ-018"	1197	158718361	0.8
	"60-64 years "	"60-64"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1360	158718361	0.9
	"60-64 years "	"60-64"	"Unspecified Injury"	"GRINJ-020"	3419	158718361	2.2
	"60-64 years "	"60-64"	"Non-Injury: Intestinal infections"	"GR113 001-003"	2084	158718361	1.3
	"60-64 years "	"60-64"	"Non-Injury: Tuberculosis"	"GR113 005-006"	613	158718361	0.4
	"60-64 years "	"60-64"	"Non-Injury: Whooping cough"	"GR113-007"	0	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Meningococcal infection"	"GR113-009"	39	158718361	0.0
	"60-64 years "	"60-64"	"Non-Injury: Septicemia"	"GR113-010"	25037	158718361	15.8
	"60-64 years "	"60-64"	"Non-Injury: Syphilis"	"GR113-011"	30	158718361	0.0
	"60-64 years "	"60-64"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	6	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Measles"	"GR113-014"	0	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Viral hepatitis"	"GR113-015"	7548	158718361	4.8
	"60-64 years "	"60-64"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	6477	158718361	4.1
	"60-64 years "	"60-64"	"Non-Injury: Malaria"	"GR113-017"	9	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	5878	158718361	3.7
	"60-64 years "	"60-64"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	659962	158718361	415.8
	"60-64 years "	"60-64"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	8923	158718361	5.6
	"60-64 years "	"60-64"	"Non-Injury: Anemias"	"GR113-045"	1952	158718361	1.2
	"60-64 years "	"60-64"	"Non-Injury: Diabetes mellitus"	"GR113-046"	71141	158718361	44.8
	"60-64 years "	"60-64"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	1234	158718361	0.8
	"60-64 years "	"60-64"	"Non-Injury: Meningitis"	"GR113-050"	558	158718361	0.4
	"60-64 years "	"60-64"	"Non-Injury: Parkinsons disease"	"GR113-051"	3112	158718361	2.0
	"60-64 years "	"60-64"	"Non-Injury: Alzheimers disease"	"GR113-052"	5156	158718361	3.2
	"60-64 years "	"60-64"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	431707	158718361	272.0
	"60-64 years "	"60-64"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	12999	158718361	8.2
	"60-64 years "	"60-64"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	68345	158718361	43.1
	"60-64 years "	"60-64"	"Non-Injury: Atherosclerosis"	"GR113-071"	3107	158718361	2.0
	"60-64 years "	"60-64"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	15490	158718361	9.8
	"60-64 years "	"60-64"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	3501	158718361	2.2
	"60-64 years "	"60-64"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	21890	158718361	13.8
	"60-64 years "	"60-64"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	106	158718361	0.1
	"60-64 years "	"60-64"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	93949	158718361	59.2
	"60-64 years "	"60-64"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	453	158718361	0.3
	"60-64 years "	"60-64"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	5522	158718361	3.5
	"60-64 years "	"60-64"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	19179	158718361	12.1
	"60-64 years "	"60-64"	"Non-Injury: Peptic ulcer"	"GR113-090"	2587	158718361	1.6
	"60-64 years "	"60-64"	"Non-Injury: Diseases of appendix"	"GR113-091"	347	158718361	0.2
	"60-64 years "	"60-64"	"Non-Injury: Hernia"	"GR113-092"	1064	158718361	0.7
	"60-64 years "	"60-64"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	39251	158718361	24.7
	"60-64 years "	"60-64"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	1607	158718361	1.0
	"60-64 years "	"60-64"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	27380	158718361	17.3
	"60-64 years "	"60-64"	"Non-Injury: Infections of kidney"	"GR113-102"	378	158718361	0.2
	"60-64 years "	"60-64"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	94	158718361	0.1
	"60-64 years "	"60-64"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	87	158718361	0.1
	"60-64 years "	"60-64"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	0	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	2	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	12	158718361	Unreliable
	"60-64 years "	"60-64"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	3651	158718361	2.3
	"60-64 years "	"60-64"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	13355	158718361	8.4
	"60-64 years "	"60-64"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	126641	158718361	79.8
	"60-64 years "	"60-64"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	2445	158718361	1.5
"Total"	"60-64 years "	"60-64"			1776160	158718361	1119.1
	"65-69 years"	"65-69"	"Cut/Pierce"	"GRINJ-001"	858	126104032	0.7
	"65-69 years"	"65-69"	"Drowning"	"GRINJ-002"	1529	126104032	1.2
	"65-69 years"	"65-69"	"Fall"	"GRINJ-003"	11160	126104032	8.8
	"65-69 years"	"65-69"	"Fire/Flame"	"GRINJ-004"	2528	126104032	2.0
	"65-69 years"	"65-69"	"Hot object/Substance"	"GRINJ-005"	73	126104032	0.1
	"65-69 years"	"65-69"	"Firearm"	"GRINJ-006"	12545	126104032	9.9
	"65-69 years"	"65-69"	"Machinery"	"GRINJ-007"	546	126104032	0.4
	"65-69 years"	"65-69"	"Motor Vehicle Traffic"	"GRINJ-008"	17066	126104032	13.5
	"65-69 years"	"65-69"	"Other Pedal cyclist"	"GRINJ-009"	166	126104032	0.1
	"65-69 years"	"65-69"	"Other Pedestrian"	"GRINJ-010"	526	126104032	0.4
	"65-69 years"	"65-69"	"Other land transport"	"GRINJ-011"	811	126104032	0.6
	"65-69 years"	"65-69"	"Other transport"	"GRINJ-012"	783	126104032	0.6
	"65-69 years"	"65-69"	"Natural/Environmental"	"GRINJ-013"	1145	126104032	0.9
	"65-69 years"	"65-69"	"Overexertion"	"GRINJ-014"	10	126104032	Unreliable
	"65-69 years"	"65-69"	"Poisoning"	"GRINJ-015"	6186	126104032	4.9
	"65-69 years"	"65-69"	"Struck by or against"	"GRINJ-016"	645	126104032	0.5
	"65-69 years"	"65-69"	"Suffocation"	"GRINJ-017"	5254	126104032	4.2
	"65-69 years"	"65-69"	"Other specified, classifiable Injury"	"GRINJ-018"	802	126104032	0.6
	"65-69 years"	"65-69"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1155	126104032	0.9
	"65-69 years"	"65-69"	"Unspecified Injury"	"GRINJ-020"	3818	126104032	3.0
	"65-69 years"	"65-69"	"Non-Injury: Intestinal infections"	"GR113 001-003"	3238	126104032	2.6
	"65-69 years"	"65-69"	"Non-Injury: Tuberculosis"	"GR113 005-006"	701	126104032	0.6
	"65-69 years"	"65-69"	"Non-Injury: Whooping cough"	"GR113-007"	0	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	5	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Meningococcal infection"	"GR113-009"	41	126104032	0.0
	"65-69 years"	"65-69"	"Non-Injury: Septicemia"	"GR113-010"	31728	126104032	25.2
	"65-69 years"	"65-69"	"Non-Injury: Syphilis"	"GR113-011"	31	126104032	0.0
	"65-69 years"	"65-69"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	4	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Measles"	"GR113-014"	0	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Viral hepatitis"	"GR113-015"	5016	126104032	4.0
	"65-69 years"	"65-69"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	3558	126104032	2.8
	"65-69 years"	"65-69"	"Non-Injury: Malaria"	"GR113-017"	6	126104032	Unreliable
	"65-69 years"	"65-69"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	6594	126104032	5.2
	"65-69 years"	"65-69"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	786816	126104032	623.9
	"65-69 years"	"65-69"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	11929	126104032	9.5
	"65-69 years"	"65-69"	"Non-Injury: Anemias"	"GR113-045"	2351	126104032	1.9
	"65-69 years"	"65-69"	"Non-Injury: Diabetes mellitus"	"GR113-046"	85523	126104032	67.8
	"65-69 years"	"65-69"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	1698	126104032	1.3
	"65-69 years"	"65-69"	"Non-Injury: Meningitis"	"GR113-050"	518	126104032	0.4
	"65-69 years"	"65-69"	"Non-Injury: Parkinsons disease"	"GR113-051"	7821	126104032	6.2
	"65-69 years"	"65-69"	"Non-Injury: Alzheimers disease"	"GR113-052"	12069	126104032	9.6
	"65-69 years"	"65-69"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	525273	126104032	416.5
	"65-69 years"	"65-69"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	15969	126104032	12.7
	"65-69 years"	"65-69"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	93793	126104032	74.4
	"65-69 years"	"65-69"	"Non-Injury: Atherosclerosis"	"GR113-071"	4719	126104032	3.7
	"65-69 years"	"65-69"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	22723	126104032	18.0
	"65-69 years"	"65-69"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	3664	126104032	2.9
	"65-69 years"	"65-69"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	29504	126104032	23.4
	"65-69 years"	"65-69"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	127	126104032	0.1
	"65-69 years"	"65-69"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	146997	126104032	116.6
	"65-69 years"	"65-69"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	875	126104032	0.7
	"65-69 years"	"65-69"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	7606	126104032	6.0
	"65-69 years"	"65-69"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	27224	126104032	21.6
	"65-69 years"	"65-69"	"Non-Injury: Peptic ulcer"	"GR113-090"	2974	126104032	2.4
